16/11/06 15:41:30 INFO myLogger: [ShuffledRDD]EndAt:6799895251311,TaskAttempt ID:110,Partition Id:3,Stage Id:8
16/11/06 15:41:30 INFO myLogger: [ShuffledRDD]EndAt:6799895437435,TaskAttempt ID:114,Partition Id:11,Stage Id:8
16/11/06 15:41:30 INFO myLogger: [MapPartitionsRDD]EndAt:6799895908271,TaskAttempt ID:110,Partition Id:3,Stage Id:8
16/11/06 15:41:30 INFO myLogger: [MapPartitionsRDD]EndAt:6799895990128,TaskAttempt ID:114,Partition Id:11,Stage Id:8
16/11/06 15:41:34 INFO myLogger: [UnionRDD]EndAt:6803436373161,TaskAttempt ID:114,Partition Id:11,Stage Id:8
16/11/06 15:41:40 INFO myLogger: [UnionRDD]EndAt:6809187971189,TaskAttempt ID:110,Partition Id:3,Stage Id:8
16/11/06 15:43:08 INFO myLogger: [UnionRDD]StartAt:6897580854819,TaskAttempt ID:124,Partition Id:3,Stage Id:9
16/11/06 15:43:08 INFO myLogger: [MapPartitionsRDD]StartAt:6897581672870,TaskAttempt ID:124,Partition Id:3,Stage Id:9
16/11/06 15:43:08 INFO myLogger: [ShuffledRDD]StartAt:6897581971891,TaskAttempt ID:124,Partition Id:3,Stage Id:9
16/11/06 15:43:08 INFO myLogger: [UnionRDD]StartAt:6897586735630,TaskAttempt ID:128,Partition Id:11,Stage Id:9
16/11/06 15:43:08 INFO myLogger: [MapPartitionsRDD]StartAt:6897588330614,TaskAttempt ID:128,Partition Id:11,Stage Id:9
16/11/06 15:43:08 INFO myLogger: [ShuffledRDD]StartAt:6897588943157,TaskAttempt ID:128,Partition Id:11,Stage Id:9
16/11/06 15:43:08 INFO myLogger: [ShuffledRDD]EndAt:6897606432166,TaskAttempt ID:128,Partition Id:11,Stage Id:9
16/11/06 15:43:08 INFO myLogger: [MapPartitionsRDD]EndAt:6897607039667,TaskAttempt ID:128,Partition Id:11,Stage Id:9
16/11/06 15:43:08 INFO myLogger: [ShuffledRDD]EndAt:6897613976413,TaskAttempt ID:124,Partition Id:3,Stage Id:9
16/11/06 15:43:08 INFO myLogger: [MapPartitionsRDD]EndAt:6897614753179,TaskAttempt ID:124,Partition Id:3,Stage Id:9
16/11/06 15:43:11 INFO myLogger: [UnionRDD]EndAt:6900848839212,TaskAttempt ID:128,Partition Id:11,Stage Id:9
16/11/06 15:43:17 INFO myLogger: [UnionRDD]EndAt:6906729086708,TaskAttempt ID:124,Partition Id:3,Stage Id:9
